,词语,次数
3404,は,1
3405,がきれいですね。,1
3406,jio,1
3407,自由,2
3408,一天,6
3409,饼干,1
3410,an,1
3411,apple,1
3412,day,1
3413,put,1
3414,the,1
3415,doctor,1
3416,away,2
3417,超度,5
3418,xsl,1
3419,裤子,4
3420,简称,1
3421,供给,1
3422,败家,1
3423,家姑,1
3424,吃货,1
3425,还给,1
3426,再来一个,1
3427,家里,2
3428,霍霍,1
3429,jie,1
3430,hun,1
3431,忽悠,2
3432,一首,1
3433,小苹果,1
3434,医生,3
3435,香火,1
3436,长寿,1
3437,纯属,1
3438,嫖,2
3439,可否,1
3440,你家,1
3441,远离,1
3442,绊,1
3443,忽然,1
3444,白色,1
3445,服好,1
3446,巫女,1
3447,女服,1
3448,面对,1
3449,自古以来,1
3450,以来,1
3451,永远,1
3452,buff,1
3453,跟我走,1
3454,石像,9
3455,存在,1
3456,夺得,1
3457,一线,1
3458,一线生机,1
3459,生机,1
3460,朋,1
3461,友,1
3462,女儿,1
3463,嫁出,1
3464,嫁出去,1
3465,渣,3
3466,有事没事,1
3467,撩人,1
3468,帮,9
3469,姜饼,1
3470,人儿,1
3471,劝,2
3472,放下,2
3473,仇恨,2
3474,仇,1
3475,已,1
3476,报,1
3477,早日,1
3478,轮回,1
3479,古装剧,1
3480,夫君,1
3481,得住,1
3482,白领,1
3483,錠,2
3484,对方,1
3485,真受不了,1
3486,受不了,1
3487,里面,1
3488,件,1
3489,好事,1
3490,通病,1
3491,加速,1
3492,嘻嘻,4
3493,有用,1
3494,开窍,1
3495,会约,1
3496,纸人,1
3497,发际,2
3498,说出,1
3499,实现,1
3500,比我强,1
3501,堪忧,1
3502,绊倒,1
3503,好几,1
3504,好几个,1
3505,做成,1
3506,功德,1
3507,分不开,1
3508,不开,1
3509,思想,1
3510,能带,1
3511,带回家,1
3512,何止,1
3513,三生,1
3514,三生有幸,1
3515,生有幸,1
3516,有幸,1
3517,扑倒,2
3518,姜,1
3519,滋滋,2
3520,没得,1
3521,居心,1
3522,何在,2
3523,数,1
3524,婆,1
3525,）…,1
3526,爆,1
3527,装备,1
3528,一对,2
3529,往后,1
3530,血书,2
3531,周边,2
3532,论,1
3533,专业,3
3534,重要,1
3535,重要性,1
3536,自动,2
3537,跳转,1
3538,转下,1
3539,水晶,1
3540,水晶球,1
3541,woooooo,1
3542,好乖,3
3543,几秒,1
3544,大叔,5
3545,玻璃,11
3546,玻璃球,6
3547,盒,5
3548,鞋子,2
3549,近战,1
3550,远程,1
3551,揍,5
3552,神灵,1
3553,染,1
3554,着实,1
3555,萌,1
3556,地,1
3557,冻得,1
3558,恭喜,1
3559,两位,2
3560,嘉宾,1
3561,伶,15
3562,歪,2
3563,日,1
3564,婕,1
3565,乖巧,1
3566,小哥,2
3567,善良,2
3568,遮雨,1
3569,何,1
3570,沙丘,2
3571,出电,1
3572,实属,1
3573,現,1
3574,製,1
3575,劇,2
3576,搬,1
3577,砖,1
3578,武功,1
3579,菩萨,3
3580,狡猾,2
3581,啃,1
3582,衣,2
3583,肝,1
3584,疼,1
3585,彩虹,1
3586,（（,1
3587,暗示,1
3588,泪,2
3589,目,1
3590,仙,2
3591,四,1
3592,眼中,1
3593,悲,1
3594,快要,1
3595,哪位,1
3596,友人,1
3597,弹珠,9
3598,金主,2
3599,蛮高,1
3600,副,2
3601,悲剧,2
3602,尚有,1
3603,无心,1
3604,怕鬼,1
3605,未,1
3606,伤,2
3607,分毫,1
3608,怕人,1
3609,遍体,1
3610,遍体鳞伤,1
3611,鳞伤,1
3612,球,1
3613,第一眼,1
3614,一眼,1
3615,眼看,1
3616,看成,1
3617,郭,2
3618,麒麟,2
3619,三度,1
3620,拜托,3
3621,聊斋,1
3622,逊,1
3623,抓手,1
3624,親,1
3625,难,1
3626,抉择,1
3627,二十,1
3628,二十分,1
3629,二十分钟,1
3630,秒,1
3631,宋,1
3632,威龙,1
3633,ming,1
3634,情真,1
3635,欸,1
3636,情节,1
3637,安排,1
3638,排得,1
3639,报答,1
3640,故事,1
3641,支,1
3642,線,1
3643,點,2
3644,讚,1
3645,昂,1
3646,哥们,1
3647,小时候,3
3648,何罪之有,1
3649,这时,1
3650,鹤,1
3651,氅,1
3652,抢戏,1
3653,砸,2
3654,啥时候,1
3655,(⊙,1
3656,o,1
3657,⊙),1
3658,T,2
3659,﹏,1
3660,hahah,1
3661,好怀念,1
3662,怀念,1
3663,婉,1
3664,麻烦,1
3665,村民,7
3666,迫害,1
3667,想报,1
3668,报复,3
3669,他们,6
3670,陪,3
3671,身边,1
3672,……”（,1
3673,自家,1
3674,家种,1
3675,好似,1
3676,香槟,1
3677,喽,1
3678,主线,1
3679,特别,1
3680,特别篇,1
3681,吓老,1
3682,溜溜球,1
3683,网络,1
3684,年轻,1
3685,年轻人,1
3686,讲武,1
3687,出不去,1
3688,进不来,1
3689,大佬,1
3690,千年,1
3691,红富士,1
3692,富士,1
3693,绿衣,1
3694,一块,2
3695,布,1
3696,人手,1
3697,来不及,1
3698,高山,1
3699,高山流水,1
3700,流水,1
3701,观看,1
3702,村长,17
3703,男女,1
3704,前提,1
3705,低阶,1
3706,好样,2
3707,看电视,1
3708,无忧,1
3709,无忧无虑,1
3710,无虑,1
3711,不受,1
3712,世俗,1
3713,拘束,1
3714,好比,1
3715,谁错,1
3716,有罪,2
3717,摄像,1
3718,摄像机,1
3719,而,2
3720,看不到,1
3721,种质,1
3722,优秀,1
3723,投资,4
3724,祸害,1
3725,害人,1
3726,锤子,2
3727,正道,1
3728,长相,1
3729,靠北,1
3730,神像,2
3731,战,1
3732,五,1
3733,滚,2
3734,臭男人,1
3735,男人,1
3736,受苦,1
3737,伤害,1
3738,鲨,1
3739,玻璃弹珠,2
3740,多方,1
3741,帮助,1
3742,得罪,1
3743,资助,1
3744,逃跑,1
3745,？？？？？？？？？？？？？…？？？？？？？？？？？？？,1
3746,天水,4
3747,该死,2
3748,村口,1
3749,玻璃珠,2
3750,臧,1
3751,亲戚,1
3752,道具,2
3753,真多,1
3754,多特,1
3755,特写镜头,1
3756,猥琐,3
3757,老村,1
3758,事儿,2
3759,交给,1
3760,没事儿,1
3761,审,1
3762,水灵,1
3763,主演,1
3764,还好,3
3765,附,1
3766,亲自,1
3767,亲自动手,1
3768,动手,1
3769,手把,1
3770,只有,2
3771,一只,1
3772,无罪,13
3773,老家,1
3774,老家伙,1
3775,拿开,1
3776,村子,1
3777,点破,1
3778,破败,1
3779,恶心,1
3780,哭成,1
3781,蓝,2
3782,胖子,1
3783,呸,14
3784,制片,2
3785,制片人,2
3786,老头,2
3787,活该,2
3788,说句实话,1
3789,实话,1
3790,做不了,1
3791,白话,1
3792,脏,1
3793,干净,1
3794,早就,1
3795,猥琐男,1
3796,认识,1
3797,影视,1
3798,影视剧,1
3799,珠,1
3800,看吧,1
3801,救人,1
3802,对应,1
3803,前文,1
3804,无能,2
3805,无能为力,2
3806,袖手,2
3807,袖手旁观,2
3808,旁观,2
3809,不配,1
3810,实体,1
3811,拦不住,1
3812,主帅,1
3813,拍得,1
3814,短句,1
3815,奇,2
3816,犽,1
3817,go,1
3818,殉情,1
3819,很贵,1
3820,经常,1
3821,日子,1
3822,真实,1
3823,蹲,1
3824,裹脚,1
3825,裹脚布,1
3826,亲切,1
3827,一块钱,1
3828,块钱,1
3829,最终,1
3830,合成,1
3831,上架,1
3832,老不死,1
3833,举高,1
3834,高高,1
3835,做到,1
3836,哪样,1
3837,亲人,1
3838,其他,2
3839,其他人,2
3840,他人,2
3841,可靠,1
3842,吻痕,1
3843,丧,1
3844,漂,1
3845,狂,2
3846,亮,1
3847,差距,1
3848,非,1
3849,见死不救,1
3850,实乃,1
3851,真人,1
3852,真人版,1
3853,大陆,1
3854,命,1
3855,何况,1
3856,非亲非故,1
3857,恒久,1
3858,忍耐,2
3859,恩,1
3860,慈,1
3861,不嫉妒,1
3862,嫉妒,1
3863,不自,1
3864,自夸,1
3865,张狂,1
3866,事,1
3867,不求,1
3868,益处,1
3869,不轻,1
3870,轻易,1
3871,易发,1
3872,发怒,1
3873,不计,1
3874,计算,1
3875,恶,1
3876,不义,1
3877,真理,1
3878,凡事,4
3879,包容,1
3880,事相,1
3881,相信,1
3882,盼望,1
3883,永不,1
3884,止息,1
3885,找来,1
3886,发条,2
3887,比什,1
3888,加人,1
3889,Bsp,1
3890,这家,1
3891,遇到,3
3892,才能,1
3893,能动,1
3894,跳井,2
3895,有意识,1
3896,意识,1
3897,关键,1
3898,关键时刻,1
3899,时刻,1
3900,送死,1
3901,解脱,1
3902,上甘岭,1
3903,拿走,1
3904,一千,1
3905,罪有应得,1
3906,应得,1
3907,冷漠,13
3908,深海,1
3909,居,1
3910,世说,2
3911,鲛,2
3912,剧组,1
3913,组人,1
3914,人员,1
3915,好熟,1
3916,瞎猜,1
3917,忍,11
3918,吴,1
3919,签,1
3920,前世,1
3921,沃,1
3922,很大,4
3923,挡,2
3924,牛马,1
3925,兮,6
3926,悲伤,1
3927,说起,1
3928,第一个,1
3929,领,1
3930,盒饭,1
3931,本分,3
3932,情分,1
3933,本能,1
3934,自私,14
3935,时事,1
3936,同意,2
3937,红字,2
3938,错误,1
3939,依旧,1
3940,可怜,2
3941,44,1
3942,太棒,1
3943,太棒了,1
3944,重发,1
3945,合作,1
3946,没了,1
3947,对错,2
3948,塔里,1
3949,yyds,1
3950,村里,2
3951,带大,1
3952,逃走,1
3953,净,1
3954,脑子,1
3955,不剩,1
3956,剩下,1
3957,轻,1
3958,踹,3
3959,几脚,1
3960,反过,1
3961,反过来,1
3962,帮凶,3
3963,大军,1
3964,搞笑,1
3965,无所,1
3966,无所谓,1
3967,助纣为虐,1
3968,候,1
3969,呈,1
3970,玥,1
3971,捧杀,1
3972,相对,1
3973,新人,1
3974,完蛋,1
3975,仁至义尽,3
3976,从小,1
3977,小看,1
3978,长大,1
3979,漠视,1
3980,火坑,2
3981,告诉,1
3982,彻,1
3983,败,1
3984,好感,1
3985,济公,1
3986,惹不起,2
3987,拦,3
3988,自个,1
3989,大道,1
3990,至,1
3991,公,1
3992,十,1
3993,总会,1
3994,大大,1
3995,花姑娘,2
3996,西皮,1
3997,悟,1
3998,直说,1
3999,是因为,1
4000,跳进,1
4001,冤魂,1
4002,办法,1
4003,人之常情,2
4004,常情,2
4005,罢了,2
4006,偶像,1
4007,偶像剧,1
4008,的确,1
4009,头套,1
4010,自私自利,1
4011,私自,1
4012,自利,1
4013,开玩笑,1
4014,玩笑,1
4015,不忍,1
4016,怕死,1
4017,作死,1
4018,逝,1
4019,草莓,1
4020,青,1
4021,冤有头,1
4022,冤有头债,1
4023,债有主,1
4024,推,1
4025,恶人,1
4026,一脚,1
4027,一堆,1
4028,娶,1
4029,帮忙,1
4030,架,1
4031,性质,1
4032,不一,1
4033,遇到困难,1
4034,困难,1
4035,自保,1
4036,没什么,1
4037,封建,1
4038,封建社会,1
4039,社会,1
4040,如果,1
4041,果真,1
4042,流氓,1
4043,做鬼,1
4044,不放,1
4045,不放过,1
4046,放过,1
4047,发慈悲,1
4048,慈悲,1
4049,那边,1
4050,眨眼,1
4051,答案,1
4052,情况,1
4053,包括,1
4054,路人,1
4055,共,1
4056,糟老头子,1
4057,老头子,1
4058,头子,1
4059,一边,1
4060,次,1
4061,区,1
4062,姑,1
4063,不容,1
4064,官,1
4065,报仇,1
4066,牵扯,1
4067,踢,1
4068,保护,1
4069,盯,1
4070,不正,1
4071,不正经,1
4072,休想,1
4073,体贴,1
4074,体贴入微,1
4075,贴入,1
4076,入微,1
4077,有错,1
4078,很小,1
4079,忍忍,1
4080,粗暴,1
4081,呃,1
4082,nan,1
